Acadia	#1B1404
Dark Magenta	#8B008B
Dark Oak	#612718
Dark Olive Green	#556B2F
Dark Olive Green 1	#CAFF70
Dark Olive Green 2	#BCEE68
Dark Olive Green 3	#A2CD5A
Dark Olive Green 4	#6E8B3D
Dark Orange	#FF8C00
Dark Orange 1	#FF7F00
Dark Orange 2	#EE7600
Dark Orange 3	#CD6600
Dark Orange 4	#8B4500
Dark Orchid	#9932CC
Dark Orchid 1	#BF3EFF
Dark Orchid 2	#B23AEE
Dark Orchid 3	#9A32CD
Dark Orchid 4	#68228B
Dark Red	#8B0000
Dark Rimu	#5F3D26
Dark Rum	#412010
Dark Salmon	#E9967A
Dark Sea Green	#8FBC8F
Dark Sea Green 1	#C1FFC1
Dark Sea Green 2	#B4EEB4
Dark Sea Green 3	#9BCD9B
Dark Sea Green 4	#698B69
Dark Slate	#394851
Dark Slate Blue	#483D8B
Dark Slate Gray	#2F4F4F
Dark Slate Gray 1	#97FFFF
Dark Slate Gray 2	#8DEEEE
Dark Slate Gray 3	#79CDCD
Dark Slate Gray 4	#528B8B
Dark Tan	#661010
Dark Turquoise	#00CED1
Dark Violet	#9400D3
Dawn	#A6A29A
Dawn Pink	#F3E9E5
De York	#7AC488
Deco	#D2DA97
Deep Blush	#E47698
Deep Bronze	#4A3004
Deep Cove	#051040
Deep Fir	#002900
Deep Koamaru	#1B127B
Deep Oak	#412010
Deep Ochre	#733D1A
Deep Pink	#FF1493
Deep Pink 2	#EE1289
Deep Pink 3	#CD1076
Deep Pink 4	#8B0A50
Deep Sea	#01826B
Deep Sky Blue	#00BFFF
Deep Sky Blue 1	#00BFFF
Deep Sky Blue 2	#00B2EE
Deep Sky Blue 3	#009ACD
Deep Sky Blue 4	#00688B
Deep Teal	#003532
Del Rio	#B09A95
Dell	#396413
Delta	#A4A49D
Deluge	#7563A8
Derby	#FFEED8
Desert	#AE6020
Desert Storm	#F8F8F7
Dew	#EAFFFE
Di Serria	#DB995E
Diesel	#130000
Dim Gray	#696969
Dingley	#5D7747
Disco	#871550
Dixie	#E29418
Dodger Blue	#1E90FF
Dodger Blue 1	#1E90FF
Dodger Blue 2	#1C86EE
Dodger Blue 3	#1874CD
Dodger Blue 4	#104E8B
Dolly	#F9FF8B
Dolphin	#646077
Domino	#8E775E
Don Juan	#5D4C51
Donkey Brown	#A69279
Dorado	#6B5755
Double Colonial White	#EEE3AD
Double Pearl Lusta	#FCF4D0
Double Spanish White	#E6D7B9
Dove Gray	#6D6C6C
Downriver	#092256
Downy	#6FD0C5
Driftwood	#AF8751
Drover	#FDF7AD
Dune	#383533
Dust Storm	#E5CCC9
Dusty Gray	#A8989B
Dutch White	#FFF8D1
Eagle	#B6BAA4
Earls Green	#C9B93B
Early Dawn	#FFF9E6
East Bay	#414C7D
East Side	#AC91CE
Eastern Blue	#1E9AB0
Ebb	#E9E3E3
Ebony	#0C0B1D
Ebony Clay	#26283B
Echo Blue	#AFBDD9
Eclipse	#311C17
Ecru White	#F5F3E5
Ecstasy	#FA7814
Eden	#105852
Edgewater	#C8E3D7
Edward	#A2AEAB
Egg Sour	#FFF4DD
Egg White	#FFEFC1
Eggshell	#FCE6C9
El Paso	#1E1708
El Salva	#8F3E33
Elephant	#123447
Elf Green	#088370
Elm	#1C7C7D
Embers	#A02712
Emerald Green	#00C957
Eminence	#6C3082
Emperor	#514649
Empress	#817377
Endeavour	#0056A7
Energy Yellow	#F8DD5C
English Holly	#022D15
English Red	#D43D1A
English Walnut	#3E2B23
Envy	#8BA690
Equator	#E1BC64
Espresso	#612718
Eternity	#211A0E
Eucalyptus	#278A5B
Eunry	#CFA39D
Evening Sea	#024E46
Everglade	#1C402E
Fair Pink	#FFEFEC
Falcon	#7F626D
Fantasy	#FAF3F0
Fedora	#796A78
Feijoa	#9FDD8C
Fern	#0A480D
Fern Frond	#657220
Ferra	#704F50
Festival	#FBE96C
Feta	#F0FCEA
Fiery Orange	#B35213
Fiji Green	#657220
Finch	#626649
Finlandia	#556D56
Finn	#692D54
Fiord	#405169
Fire	#AA4203
Fire Bush	#E89928
Firebrick	#B22222
Firebrick 1	#FF3030
Firebrick 2	#EE2C2C
Firebrick 3	#CD2626
Firebrick 4	#8B1A1A
Firefly	#0E2A30
Flame Pea	#DA5B38
Flame Red	#C7031E
Flamenco	#FF7D07
Flamingo	#F2552A
Flax	#7B8265
Flesh	#FF7D40
Flesh Ochre	#FF5721
Flint	#6F6A61
Flirt	#A2006D
Floral White	#FFFAF0
Foam	#D8FCFA
Fog	#D7D0FF
Foggy Gray	#CBCAB6
Forest Green	#228B22
Forest Green Dark	#182D09
Forget Me Not	#FFF1EE
Fountain Blue	#56B4BE
Frangipani	#FFDEB3
French Gray	#BDBDC6
French Lilac	#ECC7EE
French Pass	#BDEDFD
Friar Gray	#807E79
Fringy Flower	#B1E2C1
Froly	#F57584
Frost	#EDF5DD
Frosted Mint	#DBFFF8
Frostee	#E4F6E7
Fruit Salad	#4F9D5D
Fuchsia	#7A58C1
Fuego	#BEDE0D
Fuel Yellow	#ECA927
Fun Blue	#1959A8
Fun Green	#016D39
Fuscous Gray	#54534D
Gable Green	#163531
Gainsboro	#DCDCDC
Gallery	#EFEFEF
Galliano	#DCB20C
Geebung	#D18F1B
Genoa	#15736B
Geraldine	#FB8989
Geranium Lake	#E31230
Geyser	#D4DFE2
Ghost	#C7C9D5
Ghost White	#F8F8FF
Gigas	#523C94
Gimblet	#B8B56A
Gin	#E8F2EB
Gin Fizz	#FFF9E2
Givry	#F8E4BF
Glacier	#80B3C4
Glade Green	#61845F
Go Ben	#726D4E
Goblin	#3D7D52
Gold	#FFD700
Gold Drop	#F18200
Gold Ochre	#C77826
Gold Tips	#DEBA13
Gold 1	#FFD700
Gold 2	#EEC900
Gold 3	#CDAD00
Gold 4	#8B7500
Golden Bell	#E28913
Golden Dream	#F0D52D
Golden Fizz	#F5FB3D
Golden Glow	#FDE295
Golden Sand	#F0DB7D
Golden Tainoi	#FFCC5C
Goldenrod	#DAA520
Goldenrod Dark	#B8860B
Goldenrod Light	#FAFAD2
Goldenrod Pale	#EEE8AA
Goldenrod 1	#FFC125
Goldenrod 2	#EEB422
Goldenrod 3	#CD9B1D
Goldenrod 4	#8B6914
Gondola	#261414
Gordons Green	#0B1107
Gorse	#FFF14F
Gossamer	#069B81
Gossip	#D2F8B0
Gothic	#6D92A1
Governor Bay	#2F3CB3
Grain Brown	#E4D5B7
Grandis	#FFD38C
Granite Green	#8D8974
Granny Apple	#D5F6E3
Granny Smith	#84A0A0
Grape	#381A51
Graphite	#251607
Grass Hopper	#7C7631
Gravel	#4A444B
Gray	#BEBEBE
Gray 2	#C0C0C0
Gray 000	#000000
Gray 001	#030303
Gray 002	#050505
Gray 003	#080808
Gray 004	#0A0A0A
Gray 005	#0D0D0D
Gray 006	#0F0F0F
Gray 007	#121212
Gray 008	#141414
Gray 009	#171717
Gray 010	#1A1A1A
Gray 011	#1C1C1C
Gray 012	#1F1F1F
Gray 013	#212121
Gray 014	#242424
Gray 015	#262626
Gray 016	#292929
Gray 017	#2B2B2B
Gray 018	#2E2E2E
Gray 019	#303030
Gray 020	#333333
Gray 021	#363636
Gray 022	#383838
Gray 023	#3B3B3B
Gray 024	#3D3D3D
Gray 025	#404040
Gray 026	#424242
Gray 027	#454545
Gray 028	#474747
Gray 029	#4A4A4A
Gray 030	#4D4D4D
Gray 031	#4F4F4F
Gray 032	#525252
Gray 033	#545454
Gray 034	#575757
Gray 035	#595959
Gray 036	#5C5C5C
Gray 037	#5E5E5E
Gray 038	#616161
Gray 039	#636363
Gray 040	#666666
Gray 041	#696969
Gray 042	#6B6B6B
Gray 043	#6E6E6E
Gray 044	#707070
Gray 045	#737373
Gray 046	#757575
Gray 047	#787878
Gray 048	#7A7A7A
Gray 049	#7D7D7D
Gray 050	#7F7F7F
Gray 051	#828282
Gray 052	#858585
Gray 053	#878787
Gray 054	#8A8A8A
Gray 055	#8C8C8C
Gray 056	#8F8F8F
Gray 057	#919191
Gray 058	#949494
Gray 059	#969696
Gray 060	#999999
Gray 061	#9C9C9C
Gray 062	#9E9E9E
Gray 063	#A1A1A1
Gray 064	#A3A3A3
Gray 065	#A6A6A6
Gray 066	#A8A8A8
Gray 067	#ABABAB
Gray 068	#ADADAD
Gray 069	#B0B0B0
Gray 070	#B3B3B3
Gray 071	#B5B5B5
Gray 072	#B8B8B8
Gray 073	#BABABA
Gray 074	#BDBDBD
Gray 075	#BFBFBF
Gray 076	#C2C2C2
Gray 077	#C4C4C4
Gray 078	#C7C7C7
Gray 079	#C9C9C9
Gray 080	#CCCCCC
Gray 081	#CFCFCF
Gray 082	#D1D1D1
Gray 083	#D4D4D4
Gray 084	#D6D6D6
Gray 085	#D9D9D9
Gray 086	#DBDBDB
Gray 087	#DEDEDE
Gray 088	#E0E0E0
Gray 089	#E3E3E3
Gray 090	#E5E5E5
Gray 091	#E8E8E8
Gray 092	#EBEBEB
Gray 093	#EDEDED
Gray 094	#F0F0F0
Gray 095	#F2F2F2
Gray 096	#F5F5F5
Gray 097	#F7F7F7
Gray 098	#FAFAFA
Gray 099	#FCFCFC
Gray 100	#FFFFFF
Green	#00FF00
Green Dark	#006400
Green House	#24500F
Green Kelp	#25311C
Green Leaf	#436A0D
Green Mist	#CBD3B0
Green Pale	#98FB98
Green Pea	#1D6142
Green Smoke	#A4AF6E
Green Spring	#B8C1B1
Green Vogue	#032B52
Green Waterloo	#101405
Green White	#E8EBE0
Green Yellow	#ADFF2F
Green 1	#00FF00
Green 2	#00EE00
Green 3	#00CD00
Green 4	#008B00
Greenish Umber	#FF3D0D
Greenstone	#003E40
Grenadier	#D54600
Gray Chateau	#A2AAB3
Gray Green	#454936
Gray Nickel	#C3C3BD
Gray Nurse	#E7ECE6
Gray Olive	#A9A491
Gray Suit	#C1BECD
Guardsman Red	#BA0101
Gulf Blue	#051657
Gulf Stream	#80B3AE
Gull Gray	#9DACB7
Gum Leaf	#B6D3BF
Gumbo	#7CA1A6
Gun Powder	#414257
Gunmetal	#020D15
Gunsmoke	#828685
Gurkha	#9A9577
Hacienda	#98811B
Hairy Heath	#6B2A14
Haiti	#1B1035
Half And Half	#FFFEE1
Half Baked	#85C4CC
Half Colonial White	#FDF6D3
Half Dutch White	#FEF7DE
Half Pearl Lusta	#FFFCEA
Half Spanish White	#FEF4DB
Hampton	#E5D8AF
Harp	#E6F2EA
Harvest Gold	#E0B974
Havana	#341515
Havelock Blue	#5590D9
Hawaiian Tan	#9D5616
Hawkes Blue	#D4E2FC
Heath	#541012
Heather	#B7C3D0
Heathered Gray	#B6B095
Heavy Metal	#2B3228
Hemlock	#5E5D3B
Hemp	#907874
Hibiscus	#B6316C
Highball	#908D39
Highland	#6F8E63
Hillary	#ACA586
Himalaya	#6A5D1B
Hint Of Green	#E6FFE9
Hint Of Gray	#FCFFF9
Hint Of Red	#F9F9F9
Hint Of Yellow	#FAFDE4
Hippie Blue	#589AAF
Hippie Green	#53824B
Hippie Pink	#AE4560
Hit Gray	#A1ADB5
Hit Pink	#FFAB81
Hokey Pokey	#C8A528
Hoki	#65869F
Holly	#011D13
Honey Flower	#4F1C70
Honeydew	#F0FFF0
Honeydew 1	#F0FFF0
Honeydew 2	#E0EEE0
Honeydew 3	#C1CDC1
Honeydew 4	#838B83
Honeysuckle	#EDFC84
Hopbush	#D06DA1
Horizon	#5A87A0
Horses Neck	#604913
Hot Chile	#8B0723
Hot Curry	#886221
Hot Pink	#FF69B4
Hot Pink 1	#FF6EB4
Hot Pink 2	#EE6AA7
Hot Pink 3	#CD6090
Hot Pink 4	#8B3A62
Hot Purple	#480656
Hot Toddy	#B38007
Humming Bird	#CFF9F3
Hunter Green	#161D10
Hurricane	#877C7B
Husk	#B7A458
Ice Cold	#B1F4E7
Iceberg	#DAF4F0
Illusion	#F6A4C9
Indian Red	#CD5C5C
Indian Red Dark	#B0171F
Indian Red 1	#FF6A6A
Indian Red 2	#EE6363
Indian Red 3	#CD5555
Indian Red 4	#8B3A3A
Indian Tan	#4D1E01
Indigo	#082E54
Indochine	#C26B03
Irish Coffee	#5F3D26
Iroko	#433120
Iron	#D4D7D9
Ironbark	#411F10
Ironside Gray	#676662
Ironstone	#86483C
Island Spice	#FFFCEE
Ivory	#FFFFF0
Ivory Black	#292421
Ivory 1	#FFFFF0
Ivory 2	#EEEEE0
Ivory 3	#CDCDC1
Ivory 4	#8B8B83
Jacaranda	#2E0329
Jacarta	#3A2A6A
Jacko Bean	#2E1905
Jacksons Purple	#20208D
Jade	#427977
Jaffa	#EF863F
Jagged Ice	#C2E8E5
Jagger	#350E57
Jaguar	#080110
Jambalaya	#5B3013
Janna	#F4EBD3
Japanese Laurel	#0A6906
Japanese Maple	#780109
Japonica	#D87C63
Jarrah	#341515
Java	#1FC2C2
Jazz	#780109
Jelly Bean	#297B9A
Jet Stream	#B5D2CE
Jewel	#126B40
Joanna	#F5F3E5
Jon	#3B1F1F
Jonquil	#EEFF9A
Jordy Blue	#8AB9F1
Judge Gray	#544333
Jumbo	#7C7B82
Jungle Green	#281E15
Jungle Mist	#B4CFD3
Juniper	#6D9292
Just Right	#ECCDB9
Kabul	#5E483E
Kaitoke Green	#004620
Kangaroo	#C6C8BD
Karaka	#1E1609
Karry	#FFEAD4
Kashmir Blue	#507096
Kelp	#454936
Kenyan Copper	#7C1C05
Keppel	#3AB09E
Khaki	#F0E68C
Khaki Dark	#BDB76B
Khaki 1	#FFF68F
Khaki 2	#EEE685
Khaki 3	#CDC673
Khaki 4	#8B864E
Kidnapper	#E1EAD4
Kilamanjaro	#240C02
Killarney	#3A6A47
Kimberly	#736C9F
Kingfisher Daisy	#3E0480
Kobi	#E79FC4
Kokoda	#6E6D57
Korma	#8F4B0E
Koromiko	#FFBD5F
Kournikova	#FFE772
Kumera	#886221
La Palma	#368716
La Rioja	#B3C110
Lamp Black	#2E473B
Las Palmas	#C6E610
Laser	#C8B568
Laurel	#749378
Lavender	#A899E6
Lavender Light	#E6E6FA
Lavender Blush	#FFF0F5
Lavender Blush 1	#FFF0F5
Lavender Blush 2	#EEE0E5
Lavender Blush 3	#CDC1C5
Lavender Blush 4	#8B8386
Lawn Green	#7CFC00
Leather	#967059
Lemon	#F4D81C
Lemon Chiffon	#FFFACD
Lemon Chiffon 1	#FFFACD
Lemon Chiffon 2	#EEE9BF
Lemon Chiffon 3	#CDC9A5
Lemon Chiffon 4	#8B8970
Lemon Ginger	#AC9E22
Lemon Grass	#9B9E8F
Licorice	#092256
Light Beige	#F5F5DC
Light Blue	#ADD8E6
Light Blue 1	#BFEFFF
Light Blue 2	#B2DFEE
Light Blue 3	#9AC0CD
Light Blue 4	#68838B
Light Coral	#F08080
Light Cyan	#E0FFFF
Light Cyan 1	#E0FFFF
Light Cyan 2	#D1EEEE
Light Cyan 3	#B4CDCD
Light Cyan 4	#7A8B8B
Light Goldenrod	#EEDD82
Light Goldenrod Yellow	#FAFAD2
Light Goldenrod 1	#FFEC8B
Light Goldenrod 2	#EEDC82
Light Goldenrod 3	#CDBE70
Light Goldenrod 4	#8B814C
Light Gray	#D3D3D3
Light Green	#90EE90
Light Pink	#FFB6C1
Light Pink 1	#FFAEB9
Light Pink 2	#EEA2AD
Light Pink 3	#CD8C95
Light Pink 4	#8B5F65
Light Salmon	#FFA07A
Light Salmon 1	#FFA07A
Light Salmon 2	#EE9572
Light Salmon 3	#CD8162
Light Salmon 4	#8B5742
Light Sea Green	#20B2AA
Light Sky Blue	#87CEFA
Light Sky Blue 1	#B0E2FF
Light Sky Blue 2	#A4D3EE
Light Sky Blue 3	#8DB6CD
Light Sky Blue 4	#607B8B
Light Slate Blue	#8470FF
Light Slate Gray	#778899
Light Steel Blue	#B0C4DE
Light Steel Blue 1	#CAE1FF
Light Steel Blue 2	#BCD2EE
Light Steel Blue 3	#A2B5CD
Light Steel Blue 4	#6E7B8B
